"field","value"
"aligned_observations","141"
"aligned_start","1990 Q1"
"aligned_end","2025 Q1"
"initial_training_end","2017 Q4"
"evaluation_start","2018 Q1"
"evaluation_end","2025 Q1"
"evaluation_quarters","29"
"evaluation_design","Expanding-window, one-quarter-ahead point forecasts"
"modelled_transformations","Year-over-year unemployment change and year-over-year log wage growth"
"naive_baseline","Same quarter in the previous year"
