"quarter","actual_unemployment","actual_wage","naive_unemployment","naive_wage","univariate_unemployment","univariate_wage","var_unemployment","var_wage"
2018-01-01,4.73333333333333,1406,5.6,1355,4.69636038494376,1349.97241110288,4.73885211896611,1370.0868158531
2018-04-01,4.3,1209,4.93333333333333,1173,4.64967402290547,1217.30468344212,4.00451163839638,1194.86265303956
2018-07-01,4.36666666666667,1211,5,1187,4.50542632064943,1221.78537698826,4.58296798121084,1220.98748373473
2018-10-01,3.83333333333333,1318,4.43333333333333,1282,3.80902379794106,1326.45404567512,3.94095444342416,1324.37787412172
2019-01-01,4.1,1452,4.73333333333333,1406,4.14388282646869,1439.9723582032,4.2452951377119,1445.89919800302
2019-04-01,3.56666666666667,1242,4.3,1209,3.98045808614068,1248.01080337808,3.69643189783638,1244.35270350362
2019-07-01,3.93333333333333,1248,4.36666666666667,1211,3.72458429330344,1247.9014746344,3.67800506213507,1251.36057415169
2019-10-01,3.53333333333333,1348,3.83333333333333,1318,3.5749910469378,1360.49742930881,3.63577689066682,1351.99682751248
2020-01-01,4.5,1454,4.1,1452,3.92473587755915,1492.33633813494,3.92213964604825,1491.42311908775
2020-04-01,12.5333333333333,1289,3.56666666666667,1242,4.73138808317886,1270.69604795362,4.38717914704853,1255.882851713
2020-07-01,9.66666666666667,1268,3.93333333333333,1248,18.9153894704105,1276.53702835981,19.2372811240991,1089.4242251361
2020-10-01,7.56666666666667,1418,3.53333333333333,1348,8.99430074723291,1380.82988913973,10.0878151980393,1307.15878693975
2021-01-01,7.46666666666667,1422,4.5,1454,7.5532434889645,1511.31804659341,6.4993958615194,1535.33590582666
2021-04-01,6.63333333333333,1316,12.5333333333333,1289,7.36498982611929,1309.30901775596,14.8027882072026,1309.56695501913
2021-07-01,6.03333333333333,1338,9.66666666666667,1268,6.6549624184597,1300.58129104065,3.99844792776854,1338.28290018067
2021-10-01,4.76666666666667,1497,7.56666666666667,1418,5.48504313228051,1434.59162091138,3.09664023296253,1408.64979164608
2022-01-01,4.6,1561,7.46666666666667,1422,5.17301585565106,1508.39645553491,6.58818134204978,1484.52883012072
2022-04-01,4.03333333333333,1386,6.63333333333333,1316,4.88580417106441,1378.37339614102,4.99448648584509,1402.2585626137
2022-07-01,4.23333333333333,1437,6.03333333333333,1338,4.42475687070375,1429.6469610247,4.18103371543799,1426.52191449491
2022-10-01,3.96666666666667,1500,4.76666666666667,1497,3.94621715178753,1577.16424470505,3.9688558995866,1592.15499520291
2023-01-01,4.43333333333333,1711,4.6,1561,4.48641473992059,1619.48628963971,4.3653747857305,1629.98297539632
2023-04-01,4.1,1428,4.03333333333333,1386,4.71349904364478,1450.42979911133,4.47898149745433,1440.93870610528
2023-07-01,4.46666666666667,1443,4.23333333333333,1437,4.45629630355119,1491.86170820928,3.86794730644091,1503.22406022969
2023-10-01,3.96666666666667,1557,3.96666666666667,1500,4.12476630171164,1578.35989856092,4.52219147807659,1561.1647495657
2024-01-01,4.33333333333333,1767,4.43333333333333,1711,4.45266840456104,1718.57580234552,4.5741355800927,1754.65707712658
2024-04-01,4.16666666666667,1485,4.1,1428,4.58395262883224,1496.48843186997,3.82768416234201,1468.89287025651
2024-07-01,4.83333333333333,1510,4.46666666666667,1443,4.49662964028208,1478.82890735548,4.50536016287819,1492.45301838855
2024-10-01,4.33333333333333,1616,3.96666666666667,1557,4.41985442643847,1631.15752885873,4.17234654237578,1611.78317258455
2025-01-01,4.4,1807,4.33333333333333,1767,4.74294730109643,1823.8051361163,4.51710592528155,1834.17005306141
